device_id,measurement_id,room_name,room_id,predict_room,distance,router_selection,handle_missing_values_strategy,router_presence_threshold,router_rssi_threshold,value_scaling_strategy,n_estimators,max_depth,algorithm,algorithm_value,duration,correct
esp_32_300,72,WH_C_351,5,WH_C_351,0.44,all,-100,0,-100,none,50,9,random_forest,sqrt,1.207564115524292,True
esp_32_300,72,WH_C_351,5,WH_C_351,0.48,all,-100,0,-100,none,50,9,random_forest,log2,1.1985111236572266,True
esp_32_300,72,WH_C_351,5,WH_C_351,0.54,all,-100,0,-100,none,50,9,random_forest,None,1.2327899932861328,True
esp_32_300,72,WH_C_351,5,WH_C_351,0.42,all,-100,0,-100,none,50,9,random_forest,0.1,1.2323968410491943,True
esp_32_300,72,WH_C_351,5,WH_C_351,0.54,all,-100,0,-100,none,50,9,random_forest,0.2,1.225311040878296,True
esp_32_300,72,WH_C_351,5,WH_C_351,0.54,all,-100,0,-100,none,50,9,random_forest,0.3,1.2214529514312744,True
esp_32_300,72,WH_C_351,5,WH_C_351,0.54,all,-100,0,-100,none,50,9,random_forest,0.4,1.236569881439209,True
esp_32_300,72,WH_C_351,5,WH_C_351,0.54,all,-100,0,-100,none,50,9,random_forest,0.5,1.2482810020446777,True
esp_32_300,72,WH_C_351,5,WH_C_351,0.62,all,-100,0,-100,none,50,9,random_forest,0.6,1.238558053970337,True
esp_32_300,72,WH_C_351,5,WH_C_351,0.42,all,-100,0,-100,none,50,9,random_forest,0.7,1.2023742198944092,True
esp_32_300,72,WH_C_351,5,WH_C_351,0.46,all,-100,0,-100,none,50,9,random_forest,0.8,1.2138490676879883,True
esp_32_300,72,WH_C_351,5,WH_C_351,0.44,all,-100,0,-100,none,50,9,random_forest,0.9,1.2172400951385498,True
esp_32_300,72,WH_C_351,5,WH_C_351,0.46,all,-100,0,-100,none,50,9,random_forest,1,1.3400468826293945,True
esp_32_300,72,WH_C_351,5,WH_C_350,0.36,all,-100,0,-100,none,50,9,random_forest,2,1.2558097839355469,False
esp_32_300,72,WH_C_351,5,WH_C_351,0.42,all,-100,0,-100,none,50,9,random_forest,3,1.192955732345581,True
esp_32_300,72,WH_C_351,5,WH_C_351,0.5,all,-100,0,-100,none,50,9,random_forest,4,1.2459380626678467,True
esp_32_300,72,WH_C_351,5,WH_C_351,0.46,all,-100,0,-100,none,50,9,random_forest,5,1.2025551795959473,True
esp_32_300,72,WH_C_351,5,WH_C_351,0.52,all,-100,0,-100,none,50,9,random_forest,6,1.1968441009521484,True
esp_32_300,72,WH_C_351,5,WH_C_351,0.58,all,-100,0,-100,none,50,9,random_forest,7,1.226667881011963,True
esp_32_300,72,WH_C_351,5,WH_C_351,0.5,all,-100,0,-100,none,50,9,random_forest,8,1.2044601440429688,True
esp_32_300,72,WH_C_351,5,WH_C_351,0.5,all,-100,0,-100,none,50,9,random_forest,9,1.216562032699585,True
esp_32_300,72,WH_C_351,5,WH_C_351,0.38,all,-100,0,-100,none,50,9,random_forest,10,1.1921360492706299,True
